series_id                     	year	period	       value	footnote_codes
JTS000000000000000OSL         	2014	M07	         348	
JTS000000000000000OSL         	2014	M08	         392	
JTS000000000000000OSL         	2014	M09	         407	
JTS000000000000000OSL         	2014	M10	         377	
JTS000000000000000OSL         	2014	M11	         327	
JTS000000000000000OSL         	2014	M12	         412	
JTS000000000000000OSL         	2015	M01	         345	
JTS000000000000000OSL         	2015	M02	         351	
JTS000000000000000OSL         	2015	M03	         355	
JTS000000000000000OSL         	2015	M04	         388	
JTS000000000000000OSL         	2015	M05	         372	
JTS000000000000000OSL         	2015	M06	         423	
JTS000000000000000OSL         	2015	M07	         398	
JTS000000000000000OSL         	2015	M08	         393	
JTS000000000000000OSL         	2015	M09	         368	
JTS000000000000000OSL         	2015	M10	         367	
JTS000000000000000OSL         	2015	M11	         382	
JTS000000000000000OSL         	2015	M12	         360	
JTS000000000000000OSL         	2016	M01	         420	
JTS000000000000000OSL         	2016	M02	         359	
JTS000000000000000OSL         	2016	M03	         363	
JTS000000000000000OSL         	2016	M04	         395	
JTS000000000000000OSL         	2016	M05	         335	
JTS000000000000000OSL         	2016	M06	         340	
JTS000000000000000OSL         	2016	M07	         351	
JTS000000000000000OSL         	2016	M08	         354	
JTS000000000000000OSL         	2016	M09	         349	
JTS000000000000000OSL         	2016	M10	         383	
JTS000000000000000OSL         	2016	M11	         330	
JTS000000000000000OSL         	2016	M12	         383	
JTS000000000000000OSL         	2017	M01	         397	
JTS000000000000000OSL         	2017	M02	         362	
JTS000000000000000OSL         	2017	M03	         371	
JTS000000000000000OSL         	2017	M04	         363	
JTS000000000000000OSL         	2017	M05	         358	
JTS000000000000000OSL         	2017	M06	         342	
JTS000000000000000OSL         	2017	M07	         332	
JTS000000000000000OSL         	2017	M08	         368	
JTS000000000000000OSL         	2017	M09	         315	
JTS000000000000000OSL         	2017	M10	         336	
JTS000000000000000OSL         	2017	M11	         333	
JTS000000000000000OSL         	2017	M12	         308	
JTS000000000000000OSL         	2018	M01	         355	
JTS000000000000000OSL         	2018	M02	         320	
JTS000000000000000OSL         	2018	M03	         380	
JTS000000000000000OSL         	2018	M04	         347	
JTS000000000000000OSL         	2018	M05	         332	
JTS000000000000000OSL         	2018	M06	         362	
JTS000000000000000OSL         	2018	M07	         345	
JTS000000000000000OSL         	2018	M08	         326	
JTS000000000000000OSL         	2018	M09	         338	
JTS000000000000000OSL         	2018	M10	         324	
JTS000000000000000OSL         	2018	M11	         322	
JTS000000000000000OSL         	2018	M12	         322	
JTS000000000000000OSL         	2019	M01	         325	
JTS000000000000000OSL         	2019	M02	         344	
JTS000000000000000OSL         	2019	M03	         330	
JTS000000000000000OSL         	2019	M04	         321	
JTS000000000000000OSL         	2019	M05	         297	
JTS000000000000000OSL         	2019	M06	         324	
JTS000000000000000OSL         	2019	M07	         345	
JTS000000000000000OSL         	2019	M08	         323	
JTS000000000000000OSL         	2019	M09	         347	
JTS000000000000000OSL         	2019	M10	         360	
JTS000000000000000OSL         	2019	M11	         359	
JTS000000000000000OSL         	2019	M12	         341	
JTS000000000000000OSL         	2020	M01	         389	C
JTS000000000000000OSL         	2020	M02	         313	
JTS000000000000000OSL         	2020	M03	         366	
JTS000000000000000OSL         	2020	M04	         390	
JTS000000000000000OSL         	2020	M05	         266	
JTS000000000000000OSL         	2020	M06	         300	
JTS000000000000000OSL         	2020	M07	         311	
JTS000000000000000OSL         	2020	M08	         317	
JTS000000000000000OSL         	2020	M09	         314	P
JTS000000000000000OSR         	2000	M12	         0.2	
JTS000000000000000OSR         	2001	M01	         0.3	
JTS000000000000000OSR         	2001	M02	         0.2	
JTS000000000000000OSR         	2001	M03	         0.3	
JTS000000000000000OSR         	2001	M04	         0.3	
JTS000000000000000OSR         	2001	M05	         0.3	
JTS000000000000000OSR         	2001	M06	         0.3	
JTS000000000000000OSR         	2001	M07	         0.3	
JTS000000000000000OSR         	2001	M08	         0.3	
JTS000000000000000OSR         	2001	M09	         0.3	
JTS000000000000000OSR         	2001	M10	         0.3	
JTS000000000000000OSR         	2001	M11	         0.2	
JTS000000000000000OSR         	2001	M12	         0.3	
JTS000000000000000OSR         	2002	M01	         0.3	
JTS000000000000000OSR         	2002	M02	         0.3	
JTS000000000000000OSR         	2002	M03	         0.3	
JTS000000000000000OSR         	2002	M04	         0.3	
JTS000000000000000OSR         	2002	M05	         0.2	
JTS000000000000000OSR         	2002	M06	         0.3	
JTS000000000000000OSR         	2002	M07	         0.3	
JTS000000000000000OSR         	2002	M08	         0.3	
JTS000000000000000OSR         	2002	M09	         0.3	
JTS000000000000000OSR         	2002	M10	         0.3	
JTS000000000000000OSR         	2002	M11	         0.3	
JTS000000000000000OSR         	2002	M12	         0.3	
JTS000000000000000OSR         	2003	M01	         0.4	
JTS000000000000000OSR         	2003	M02	         0.3	
JTS000000000000000OSR         	2003	M03	         0.3	
JTS000000000000000OSR         	2003	M04	         0.3	
JTS000000000000000OSR         	2003	M05	         0.3	
JTS000000000000000OSR         	2003	M06	         0.2	
JTS000000000000000OSR         	2003	M07	         0.3	
JTS000000000000000OSR         	2003	M08	         0.2	
JTS000000000000000OSR         	2003	M09	         0.3	
JTS000000000000000OSR         	2003	M10	         0.3	
JTS000000000000000OSR         	2003	M11	         0.2	
JTS000000000000000OSR         	2003	M12	         0.3	
JTS000000000000000OSR         	2004	M01	         0.3	
JTS000000000000000OSR         	2004	M02	         0.2	
JTS000000000000000OSR         	2004	M03	         0.3	
JTS000000000000000OSR         	2004	M04	         0.2	
JTS000000000000000OSR         	2004	M05	         0.3	
JTS000000000000000OSR         	2004	M06	         0.3	
JTS000000000000000OSR         	2004	M07	         0.3	
JTS000000000000000OSR         	2004	M08	         0.3	
JTS000000000000000OSR         	2004	M09	         0.2	
JTS000000000000000OSR         	2004	M10	         0.3	
JTS000000000000000OSR         	2004	M11	         0.2	
JTS000000000000000OSR         	2004	M12	         0.2	
JTS000000000000000OSR         	2005	M01	         0.3	
JTS000000000000000OSR         	2005	M02	         0.3	
JTS000000000000000OSR         	2005	M03	         0.2	
JTS000000000000000OSR         	2005	M04	         0.2	
JTS000000000000000OSR         	2005	M05	         0.2	
JTS000000000000000OSR         	2005	M06	         0.2	
JTS000000000000000OSR         	2005	M07	         0.2	
JTS000000000000000OSR         	2005	M08	         0.3	
JTS000000000000000OSR         	2005	M09	         0.2	
JTS000000000000000OSR         	2005	M10	         0.2	
JTS000000000000000OSR         	2005	M11	         0.2	
JTS000000000000000OSR         	2005	M12	         0.3	
JTS000000000000000OSR         	2006	M01	         0.3	
JTS000000000000000OSR         	2006	M02	         0.3	
JTS000000000000000OSR         	2006	M03	         0.3	
JTS000000000000000OSR         	2006	M04	         0.3	
JTS000000000000000OSR         	2006	M05	         0.3	
JTS000000000000000OSR         	2006	M06	         0.3	
JTS000000000000000OSR         	2006	M07	         0.3	
JTS000000000000000OSR         	2006	M08	         0.3	
JTS000000000000000OSR         	2006	M09	         0.3	
JTS000000000000000OSR         	2006	M10	         0.3	
JTS000000000000000OSR         	2006	M11	         0.3	
JTS000000000000000OSR         	2006	M12	         0.3	
JTS000000000000000OSR         	2007	M01	         0.3	
JTS000000000000000OSR         	2007	M02	         0.3	
JTS000000000000000OSR         	2007	M03	         0.2	
JTS000000000000000OSR         	2007	M04	         0.3	
JTS000000000000000OSR         	2007	M05	         0.2	
JTS000000000000000OSR         	2007	M06	         0.3	
JTS000000000000000OSR         	2007	M07	         0.3	
JTS000000000000000OSR         	2007	M08	         0.3	
JTS000000000000000OSR         	2007	M09	         0.2	
JTS000000000000000OSR         	2007	M10	         0.2	
JTS000000000000000OSR         	2007	M11	         0.3	
JTS000000000000000OSR         	2007	M12	         0.3	
JTS000000000000000OSR         	2008	M01	         0.2	
JTS000000000000000OSR         	2008	M02	         0.2	
JTS000000000000000OSR         	2008	M03	         0.3	
JTS000000000000000OSR         	2008	M04	         0.3	
JTS000000000000000OSR         	2008	M05	         0.2	
JTS000000000000000OSR         	2008	M06	         0.2	
JTS000000000000000OSR         	2008	M07	         0.2	
JTS000000000000000OSR         	2008	M08	         0.3	
JTS000000000000000OSR         	2008	M09	         0.2	
JTS000000000000000OSR         	2008	M10	         0.3	
JTS000000000000000OSR         	2008	M11	         0.3	
JTS000000000000000OSR         	2008	M12	         0.2	
JTS000000000000000OSR         	2009	M01	         0.2	
JTS000000000000000OSR         	2009	M02	         0.2	
JTS000000000000000OSR         	2009	M03	         0.2	
JTS000000000000000OSR         	2009	M04	         0.3	
JTS000000000000000OSR         	2009	M05	         0.2	
JTS000000000000000OSR         	2009	M06	         0.2	
JTS000000000000000OSR         	2009	M07	         0.2	
JTS000000000000000OSR         	2009	M08	         0.2	
JTS000000000000000OSR         	2009	M09	         0.2	
JTS000000000000000OSR         	2009	M10	         0.2	
JTS000000000000000OSR         	2009	M11	         0.2	
JTS000000000000000OSR         	2009	M12	         0.2	
JTS000000000000000OSR         	2010	M01	         0.3	
JTS000000000000000OSR         	2010	M02	         0.3	
JTS000000000000000OSR         	2010	M03	         0.2	
JTS000000000000000OSR         	2010	M04	         0.2	
JTS000000000000000OSR         	2010	M05	         0.3	
JTS000000000000000OSR         	2010	M06	         0.3	
JTS000000000000000OSR         	2010	M07	         0.3	
JTS000000000000000OSR         	2010	M08	         0.3	
JTS000000000000000OSR         	2010	M09	         0.2	
JTS000000000000000OSR         	2010	M10	         0.2	
JTS000000000000000OSR         	2010	M11	         0.2	
JTS000000000000000OSR         	2010	M12	         0.2	
JTS000000000000000OSR         	2011	M01	         0.3	
JTS000000000000000OSR         	2011	M02	         0.2	
JTS000000000000000OSR         	2011	M03	         0.2	
JTS000000000000000OSR         	2011	M04	         0.2	
JTS000000000000000OSR         	2011	M05	         0.2	
JTS000000000000000OSR         	2011	M06	         0.2	
JTS000000000000000OSR         	2011	M07	         0.3	
JTS000000000000000OSR         	2011	M08	         0.2	
JTS000000000000000OSR         	2011	M09	         0.2	
JTS000000000000000OSR         	2011	M10	         0.3	
JTS000000000000000OSR         	2011	M11	         0.2	
JTS000000000000000OSR         	2011	M12	         0.2	
JTS000000000000000OSR         	2012	M01	         0.3	
JTS000000000000000OSR         	2012	M02	         0.2	
JTS000000000000000OSR         	2012	M03	         0.2	
JTS000000000000000OSR         	2012	M04	         0.2	
